UTC Time,Latitude,Longitude,Altitude(m),Velocity(m/s),Satellites Used
2026-03-22 06:44:42,32.29669390182715,34.92500344061234,-3922.4469025293733,0.0,5
2026-03-22 06:45:20,32.125490039407765,34.73793326968336,3594.9423811056568,0.0,6
2026-03-22 06:45:21,32.125418866579686,34.737926409982606,3599.885030369287,9.338520883098107,6
2026-03-22 06:45:22,32.125521795931284,34.73794305123473,3602.9881461244563,11.938137302902287,7
2026-03-22 06:45:23,32.12572866972527,34.73774569688342,3562.644348595264,50.016719040044315,7
2026-03-22 06:45:24,32.12540351523227,34.73792610941893,3648.1493001091667,94.35450275592903,7
2026-03-22 06:45:26,32.12540879113696,34.73794485996349,3640.1807471392326,0.0,6
2026-03-22 06:45:27,32.12538933521969,34.73794114025808,3622.760338540537,17.55716046306234,6
2026-03-22 06:45:29,32.12544355436879,34.73780514386866,3634.3828185902216,0.0,6
2026-03-22 06:45:30,32.12541158799555,34.73784736600901,3634.963476963051,5.36740190587122,7
2026-03-22 06:45:31,32.12539378303654,34.737857308853734,3633.870677367216,2.445023619338512,6
2026-03-22 06:45:34,32.25412041150748,34.758874768834076,4773.111905412731,0.0,5
2026-03-22 06:45:36,32.125503550189656,34.73785738133284,3629.619007682163,0.0,6
2026-03-22 06:45:56,32.12541676266775,34.73757269550304,3727.1073765671854,0.0,8
2026-03-22 06:45:57,32.12549844073159,34.73748042480905,3703.907123559929,26.38714927331362,6
2026-03-22 06:45:58,32.12526240460174,34.737518450452164,3763.270454049551,64.9828402499771,7
2026-03-22 06:45:59,32.12510393922262,34.73765390569643,3786.968790928312,32.16104720888074,6
2026-03-22 06:46:00,32.12536524478954,34.73751944201739,3741.195480980839,55.65056127811431,7
2026-03-22 06:46:01,32.12525074676786,34.73749580458007,3746.154890931172,13.819183035142203,7
2026-03-22 06:46:02,32.125351318114504,34.737482987811816,3748.012854266184,11.376997762224422,8
2026-03-22 06:46:03,32.12531766492001,34.73746505701881,3750.8656747711148,4.994742342335406,8
2026-03-22 06:46:04,32.12523548811769,34.73740930524278,3777.8921681175793,29.004794544491023,8
